DBMS,Rank_Apr-2025,Rank_Mar-2025,Rank_Apr-2024,Database Model,Score_Apr-2025,Score_Mar-2025,Score_Apr-2024,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
Oracle,1.0,1.0,1.0,"Relational, Multi-model",1231.05,-22.03,-3.21,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS,Vector DBMS",Oracle,"Widely used,RDBMS",1980.0,"23c, September 2023",commercial,restricted free version is available,no,1980,2023,N,N
MySQL,2.0,2.0,2.0,"Relational, Multi-model",987.11,-1.02,-100.62,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS",Oracle,"Widely used open source,RDBMS",1995.0,"9.0.0, July 2024",Open Source,GPL version 2. Commercial licenses with extended functionallity are available,no,1995,2024,Y,N
Microsoft SQL Server,3.0,3.0,3.0,"Relational, Multi-model",785.01,-3.13,-44.79,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,Microsofts flagship relational DBMS,1989.0,"SQL Server 2022, November 2022",commercial,restricted free version is available,no,1989,2022,N,N
PostgreSQL,4.0,4.0,4.0,"Relational, Multi-model",667.25,+3.82,+22.20,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Vector DBMS",PostgreSQL Global Development Group,"Widely used open source,RDBMS",1989.0,"16.4, August 2024",Open Source,BSD,no,1989,2024,Y,N
MongoDB,5.0,5.0,5.0,"Document, Multi-model",400.05,+3.63,-23.91,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS","MongoDB, Inc",One of the most popular document stores available both as a fully managed cloud service and for deployment on self-managed infrastructure,2009.0,"7.0.5, January 2024",Open Source,MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,no,2009,2024,Y,N
Snowflake,6.0,6.0,9.0,Relational,168.09,+6.31,+44.89,https://db-engines.com/en/system/Snowflake,,Snowflake Computing Inc.,Cloud-based data warehousing service for structured and semi-structured data,2014.0,,commercial,,yes,2014,,N,Y
Redis,7.0,7.0,6.0,"Key-value, Multi-model",154.11,-1.25,-2.33,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS","Redis project core team, inspired by Salvatore Sanfilippo","Popular in-memory data platform used as a cache, message broker, and database that can be deployed on-premises, across clouds, and hybrid environments",2009.0,"7.2.5, May 2024",Open Source,"source-available extensions (modules), commercial licenses for Redis Enterprise",no,2009,2024,Y,N
Elasticsearch,8.0,8.0,7.0,Multi-model,128.08,-3.30,-6.70,https://db-engines.com/en/system/Elasticsearch,"Search engine,Vector DBMS,Document store,Spatial DBMS",Elastic,"A distributed, RESTful modern search and analytics engine based on,Apache Lucene",2010.0,"8.6, January 2023",Open Source,Elastic License,no,2010,2023,Y,N
IBM Db2,9.0,9.0,8.0,"Relational, Multi-model",126.04,-0.53,-1.45,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS",IBM,"Common in IBM host environments, 2 different versions for host and Windows/Linux",1983.0,"12.1, October 2016",commercial,free version is available,no,1983,2016,N,N
SQLite,10.0,10.0,10.0,Relational,114.09,+1.01,-1.92,https://db-engines.com/en/system/SQLite,,Dwayne Richard Hipp,"Widely used embeddable, in-process,RDBMS",2000.0,"3.46.1  (13 August 2024), August 2024",Open Source,Public Domain,no,2000,2024,Y,N
Apache Cassandra,11.0,11.0,12.0,"Wide column, Multi-model",108.21,+1.55,+4.34,https://db-engines.com/en/system/Apache+Cassandra,"Wide column store,Vector DBMS",Apache Software Foundation,Wide-column store based on ideas of BigTable and DynamoDB,2008.0,"5.0-rc1, July 2024",Open Source,Apache version 2,no,2008,2024,Y,N
