DBMS,Rank_Feb-2023,Rank_Jan-2023,Rank_Feb-2022,Database Model,Score_Feb-2023,Score_Jan-2023,Score_Feb-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Oracle,1.0,1.0,1.0,"Relational, Multi-model",1247.52,+2.35,-9.31,https://db-engines.com/en/system/Oracle,"Relational DBMS,Document store,Graph DBMS,RDF store,Spatial DBMS",Oracle,"Widely used,RDBMS",1980.0,"21c, January 2021",commercial,restricted free version is available,no
MySQL,2.0,2.0,2.0,"Relational, Multi-model",1195.45,-16.51,-19.23,https://db-engines.com/en/system/MySQL,"Relational DBMS,Document store,Spatial DBMS",Oracle,"Widely used open source,RDBMS",1995.0,"8.0.32, January 2023",Open Source,GPL version 2. Commercial licenses with extended functionallity are available,no
Microsoft SQL Server,3.0,3.0,3.0,"Relational, Multi-model",929.09,+9.70,-19.96,https://db-engines.com/en/system/Microsoft+SQL+Server,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,Microsofts flagship relational DBMS,1989.0,"SQL Server 2022, November 2022",commercial,restricted free version is available,no
PostgreSQL,4.0,4.0,4.0,"Relational, Multi-model",616.5,+1.65,+7.12,https://db-engines.com/en/system/PostgreSQL,"Relational DBMS,Document store,Spatial DBMS",PostgreSQL Global Development Group,"Widely used open source,RDBMS",1989.0,"15.2, February 2023",Open Source,BSD,no
MongoDB,5.0,5.0,5.0,"Document, Multi-model",452.77,-2.42,-35.88,https://db-engines.com/en/system/MongoDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS","MongoDB, Inc",One of the most popular document stores available both as a fully managed cloud service and for deployment on self-managed infrastructure,2009.0,"6.0.1, August 2022",Open Source,MongoDB Inc.'s Server Side Public License v1. Prior versions were published under GNU AGPL v3.0. Commercial licenses are also available.,no
Redis,6.0,6.0,6.0,"Key-value, Multi-model",173.83,-3.72,-1.96,https://db-engines.com/en/system/Redis,"Key-value store,Document store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS","Redis project core team, inspired by Salvatore Sanfilippo","Popular in-memory data platform used as a cache, message broker, and database that can be deployed on-premises, across clouds, and hybrid environments",2009.0,"7.0.8, January 2023",Open Source,"source-available extensions (modules), commercial licenses for Redis Enterprise",no
IBM Db2,7.0,7.0,7.0,"Relational, Multi-model",142.97,-0.60,-19.91,https://db-engines.com/en/system/IBM+Db2,"Relational DBMS,Document store,RDF store,Spatial DBMS",IBM,"Common in IBM host environments, 2 different versions for host and Windows/Linux",1983.0,"12.1, October 2016",commercial,free version is available,no
Elasticsearch,8.0,8.0,8.0,"Search engine, Multi-model",138.6,-2.56,-23.70,https://db-engines.com/en/system/Elasticsearch,"Search engine,Document store,Spatial DBMS",Elastic,"A distributed, RESTful modern search and analytics engine based on,Apache Lucene",2010.0,"7.8.0, June 2020",Open Source,Elastic License,no
SQLite,9.0,10.0,10.0,Relational,132.67,+1.17,+4.30,https://db-engines.com/en/system/SQLite,,Dwayne Richard Hipp,"Widely used embeddable, in-process,RDBMS",2000.0,"3.41.0  (21 February 2023), February 2023",Open Source,Public Domain,no
Microsoft Access,10.0,9.0,9.0,Relational,131.03,-2.33,-0.23,https://db-engines.com/en/system/Microsoft+Access,,Microsoft,Microsoft Access combines a backend RDBMS (JET / ACE Engine) with a GUI frontend for data manipulation and queries.,1992.0,"1902 (16.0.11328.20222), March 2019",commercial,Bundled with Microsoft Office,no
Cassandra,11.0,12.0,11.0,Wide column,116.22,-0.09,-7.76,https://db-engines.com/en/system/Cassandra,,Apache Software Foundation,Wide-column store based on ideas of BigTable and DynamoDB,2008.0,"4.1.0, December 2022",Open Source,Apache version 2,no
Snowflake,12.0,11.0,15.0,Relational,115.65,-1.60,+32.47,https://db-engines.com/en/system/Snowflake,,Snowflake Computing Inc.,Cloud-based data warehousing service for structured and semi-structured data,2014.0,,commercial,,yes
MariaDB,13.0,13.0,12.0,"Relational, Multi-model",96.81,-2.55,-10.30,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS","MariaDB Corporation Ab (MariaDB Enterprise),,MariaDB Foundation (community MariaDB Server)","MySQL,application compatible open source RDBMS, enhanced with high availability, security, interoperability and performance capabilities. MariaDB ColumnStore provides a column-oriented storage engine and MariaDB Xpand supports distributed SQL.",2009.0,"10.10.3, February 2023",Open Source,"GPL version 2, commercial enterprise subscription available",no
Splunk,14.0,14.0,13.0,Search engine,87.08,-1.32,-3.73,https://db-engines.com/en/system/Splunk,,Splunk Inc.,Analytics Platform for Big Data,2003.0,,commercial,Limited free edition and free developer edition available,no
Amazon DynamoDB,15.0,15.0,17.0,Multi-model,79.69,-1.87,-0.67,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store",Amazon,"Hosted, scalable database service by Amazon with the data stored in Amazons cloud",2012.0,,commercial,free tier for a limited amount of database operations,yes
Microsoft Azure SQL Database,16.0,16.0,14.0,"Relational, Multi-model",78.75,-1.62,-6.20,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,"Database as a Service offering with high compatibility to,Microsoft SQL Server",2010.0,V12,commercial,,yes
Hive,17.0,17.0,16.0,Relational,72.12,-2.22,-9.76,https://db-engines.com/en/system/Hive,,Apache Software Foundation,"data warehouse software for querying and managing large distributed datasets, built on Hadoop",2012.0,"3.1.3, April 2022",Open Source,Apache Version 2,no
Teradata,18.0,18.0,18.0,"Relational, Multi-model",63.03,-2.40,-5.54,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Teradata,A hybrid cloud data analytics software platform (Teradata Vantage),1984.0,"Teradata Vantage 1.0 MU2, January 2019",commercial,,no
Databricks,19.0,19.0,,Multi-model,60.33,-0.49,,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS",Databricks,The Databricks Lakehouse Platform combines elements of data lakes and data warehouses to provide a unified view onto structured and unstructured data. It is based on Apache Spark.,2013.0,,Open Source,,yes
Neo4j,20.0,20.0,20.0,Graph,55.43,-0.41,-2.81,https://db-engines.com/en/system/Neo4j,,"Neo4j, Inc.","Scalable, ACID-compliant graph database designed with a high-performance distributed cluster architecture, available in self-hosted and cloud offerings",2007.0,"5.5, February 2023",Open Source,"GPL version3, commercial licenses available",no
FileMaker,21.0,22.0,22.0,Relational,52.8,-0.28,-1.33,https://db-engines.com/en/system/FileMaker,,FileMaker,"FileMaker is a cross-platform,RDBMS,that includes a GUI frontend.",1983.0,"19.4.1, November 2021",commercial,,no
Google BigQuery,22.0,21.0,24.0,Relational,52.45,-1.97,+7.35,https://db-engines.com/en/system/Google+BigQuery,,Google,Large scale data warehouse service with append-only tables,2010.0,,commercial,,yes
SAP HANA,23.0,23.0,21.0,"Relational, Multi-model",49.67,-1.67,-6.64,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",SAP,"In-memory, column based data store. Available as appliance or cloud service",2010.0,"2.0 SPS06 (March 4, 2022), March 2022",commercial,,no
Solr,24.0,24.0,19.0,"Search engine, Multi-model",45.88,-0.51,-12.64,https://db-engines.com/en/system/Solr,"Search engine,Spatial DBMS",Apache Software Foundation,"A widely used distributed, scalable,search engine,based on,Apache Lucene",2006.0,"9.1.1, January 2023",Open Source,Apache Version 2,no
SAP Adaptive Server,25.0,25.0,23.0,"Relational, Multi-model",43.05,+0.21,-6.48,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS","SAP, Sybase","The SAP (Sybase) Adaptive Server Enterprise (ASE) is an enterprise-class,RDBMS",1987.0,16.0,commercial,,no
HBase,26.0,26.0,25.0,Wide column,38.41,-0.93,-5.21,https://db-engines.com/en/system/HBase,,Apache Software Foundation,Wide-column store based on Apache Hadoop and on concepts of BigTable,2008.0,"2.3.4, January 2021",Open Source,Apache version 2,no
